##sequence-region NODE_32_length_88662_cov_470.213076_18 1 199
NODE_32_length_88662_cov_470.213076_18	.	polypeptide	1	199	.	+	.	ID=NODE_32_length_88662_cov_470.213076_18;md5=877ff4e720a3b66e94b6fca3652b8fb6
NODE_32_length_88662_cov_470.213076_18	TIGRFAM	protein_match	4	197	1.7E-88	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_18 4 197;Ontology_term="GO:0003677","GO:0006281","GO:0006310";ID=match$1506_4_197;signature_desc=recR: recombination protein RecR;Name=TIGR00615;status=T;Dbxref="InterPro:IPR000093"
NODE_32_length_88662_cov_470.213076_18	CDD	protein_match	81	192	1.18355E-64	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_18 81 192;ID=match$1507_81_192;signature_desc=TOPRIM_recR;Name=cd01025;status=T;Dbxref="InterPro:IPR034137"
NODE_32_length_88662_cov_470.213076_18	Pfam	protein_match	41	79	2.8E-17	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_18 41 79;ID=match$1508_41_79;signature_desc=RecR protein;Name=PF02132;status=T;Dbxref="InterPro:IPR023628"
NODE_32_length_88662_cov_470.213076_18	Pfam	protein_match	81	172	2.6E-27	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_18 81 172;ID=match$1509_81_172;signature_desc=Toprim domain;Name=PF13662;status=T;Dbxref="InterPro:IPR006171"
NODE_32_length_88662_cov_470.213076_18	Hamap	protein_match	1	199	111.898	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_18 1 199;Ontology_term="GO:0003677","GO:0006281","GO:0006310";ID=match$1510_1_199;signature_desc=Recombination protein RecR [recR].;Name=MF_00017;status=T;Dbxref="InterPro:IPR000093"
##sequence-region NODE_32_length_88662_cov_470.213076_69 1 727
NODE_32_length_88662_cov_470.213076_69	.	polypeptide	1	727	.	+	.	ID=NODE_32_length_88662_cov_470.213076_69;md5=25f5c7a1c1d455d22af1182eeb1f83e0
NODE_32_length_88662_cov_470.213076_69	Pfam	protein_match	701	721	5.1E-7	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 701 721;Ontology_term="GO:0000272","GO:0004553";ID=match$1538_701_721;signature_desc=Dockerin type I repeat;Name=PF00404;status=T;Dbxref="InterPro:IPR002105"
NODE_32_length_88662_cov_470.213076_69	Pfam	protein_match	667	687	1.2E-7	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 667 687;Ontology_term="GO:0000272","GO:0004553";ID=match$1538_667_687;signature_desc=Dockerin type I repeat;Name=PF00404;status=T;Dbxref="InterPro:IPR002105"
NODE_32_length_88662_cov_470.213076_69	Pfam	protein_match	536	657	2.9E-44	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 536 657;Ontology_term="GO:0030246";ID=match$1539_536_657;signature_desc=Carbohydrate binding module (family 6);Name=PF03422;status=T;Dbxref="InterPro:IPR005084"
NODE_32_length_88662_cov_470.213076_69	Pfam	protein_match	45	300	9.1E-45	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 45 300;Ontology_term="GO:0004553","GO:0005975";ID=match$1540_45_300;signature_desc=Glycosyl hydrolases family 43;Name=PF04616;status=T;Dbxref="InterPro:IPR006710"
NODE_32_length_88662_cov_470.213076_69	CDD	protein_match	533	655	8.46901E-59	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 533 655;ID=match$1541_533_655;signature_desc=CBM6_xylanase-like;Name=cd04084;status=T
NODE_32_length_88662_cov_470.213076_69	CDD	protein_match	44	303	1.08974E-122	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 44 303;ID=match$1542_44_303;signature_desc=GH43_XYL_2;Name=cd09001;status=T
NODE_32_length_88662_cov_470.213076_69	CDD	protein_match	665	721	2.69497E-20	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_69 665 721;ID=match$1543_665_721;signature_desc=Dockerin_I;Name=cd14256;status=T
##sequence-region NODE_32_length_88662_cov_470.213076_71 1 965
NODE_32_length_88662_cov_470.213076_71	.	polypeptide	1	965	.	+	.	ID=NODE_32_length_88662_cov_470.213076_71;md5=c2bb057398f0921ba380321dfd6c9a89
NODE_32_length_88662_cov_470.213076_71	CDD	protein_match	903	959	1.01553E-19	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_71 903 959;ID=match$1837_903_959;signature_desc=Dockerin_I;Name=cd14256;status=T
NODE_32_length_88662_cov_470.213076_71	Pfam	protein_match	775	895	1.6E-43	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_71 775 895;Ontology_term="GO:0030246";ID=match$1838_775_895;signature_desc=Carbohydrate binding module (family 6);Name=PF03422;status=T;Dbxref="InterPro:IPR005084"
NODE_32_length_88662_cov_470.213076_71	Pfam	protein_match	939	959	3.4E-6	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_71 939 959;Ontology_term="GO:0000272","GO:0004553";ID=match$1839_939_959;signature_desc=Dockerin type I repeat;Name=PF00404;status=T;Dbxref="InterPro:IPR002105"
NODE_32_length_88662_cov_470.213076_71	Pfam	protein_match	905	925	6.0E-7	+	.	date=03-11-2019;Target=NODE_32_length_88662_cov_470.213076_71 905 925;Ontology_term="GO:0000272","GO:0004553";ID=match$1839_905_925;signature_desc=Dockerin type I repeat;Name=PF00404;status=T;Dbxref="InterPro:IPR002105"
